target_sku,section_name,category_name,question_en,answer_en,url,article_id
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,How can I make an appointment?,"Via the special form on our website - all available dates and training types will be listed there.

https://gyeonquartz.com/gec/",https://gyeon.zendesk.com/hc/en-us/articles/360000899978-How-can-I-make-an-appointment,360000899978
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,I’m an enthusiast - will you train me to become a professional detailer?,"You are able to receive all types of training, also full tuition that will train you from the very beginning till the most advanced level. However, we always advise, that the training is just the beginning of a long way and practice can't be replaced with any training!",https://gyeon.zendesk.com/hc/en-us/articles/360000892697-I-m-an-enthusiast-will-you-train-me-to-become-a-professional-detailer,360000892697
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,What languages do you train in?,"English, German, Dutch, French and Polish.",https://gyeon.zendesk.com/hc/en-us/articles/360000892677-What-languages-do-you-train-in,360000892677
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Who are your trainers?,"In order to keep our training as versatile as possible, our training team is international and very experienced. The main trainers are Yves, Stefan and Jeremy.",https://gyeon.zendesk.com/hc/en-us/articles/360000899958-Who-are-your-trainers,360000899958
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,What trainings do you offer?,"Every type. Starting with 1-day coating training for enthusiasts up to full, 5-day advanced training for detailing professionals or Gyeon Certified Detailers wanting to increase their skills. You can easily find more information on our website here: click.",https://gyeon.zendesk.com/hc/en-us/articles/360000892617-What-trainings-do-you-offer,360000892617
_BRAND:gyeon:training,Gyeon Experience Center Questions,General Brand Questions,Where is your training center located?,It is located in Cologne - Germany. Find all information right here: https://gyeonquartz.com/gec/,https://gyeon.zendesk.com/hc/en-us/articles/360000892597-Where-is-your-training-center-located,360000892597
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,What benefits come with the certification?,"You gain access to our Certified Detailer coatings that come with 5 year warranties. Having the Certified status, you belong to an exclusive network of the world’s best detailers and will be listed on our website. We will promote your work on social media platforms.",https://gyeon.zendesk.com/hc/en-us/articles/360000892577-What-benefits-come-with-the-certification,360000892577
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Are there any contracts or purchase minimums?,"No. We believe in full freedom of choice and your decision to choose the right product for a particular vehicle. However, we encourage our detailers to promote their work with Gyeon on social media, as this will also allow us to share your work on our platforms.",https://gyeon.zendesk.com/hc/en-us/articles/360000892557-Are-there-any-contracts-or-purchase-minimums,360000892557
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Do you provide territorial exclusivity?,"Yes, we provide territorial exclusivity and strive to provide a comfortable environment for your business to grow.",https://gyeon.zendesk.com/hc/en-us/articles/360000892537-Do-you-provide-territorial-exclusivity,360000892537
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Why do you require an IR lamp?,We want to ensure our customers will pick up their coated car as a ready-made product and therefore suggest force curing the coatings before the car leaves the studio. This is also a requirement for our warranty.,https://gyeon.zendesk.com/hc/en-us/articles/360000899918-Why-do-you-require-an-IR-lamp,360000899918
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Can I use Certified Detailer coatings on the probationary period?,"No, they are reserved exclusively for Gyeon Certified Detailers. You will be able to purchase them since day 1 after your certification.",https://gyeon.zendesk.com/hc/en-us/articles/360000899898-Can-I-use-Certified-Detailer-coatings-on-the-probationary-period,360000899898
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Is the probationary period obligatory?,"Yes, it is. Every single Gyeon Certified Detailer has been through it. This is our way to prove your commitment towards the brand and products. We value long term relationships and like to build them on solid foundations.",https://gyeon.zendesk.com/hc/en-us/articles/360000892477-Is-the-probationary-period-obligatory,360000892477
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Do you offer trainings?,We will offer various training courses in our Gyeon Training Center Europe once launched in 2019.,https://gyeon.zendesk.com/hc/en-us/articles/360000892437-Do-you-offer-trainings,360000892437
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,Do you offer support to Certified Detailers?,"Yes, of course. We are always happy to share our Certified Detailers work on our social media platforms. We provide technical support, marketing materials, banners and the opportunity to participate in a closed Certified Detailer forum.",https://gyeon.zendesk.com/hc/en-us/articles/360000892417-Do-you-offer-support-to-Certified-Detailers,360000892417
_BRAND:gyeon:certified_detailer,Certified Detailer Questions,General Brand Questions,How to become a Gyeon Certified Detailer?,"Most of all, you need to be a detailing professional with a registered and insured business for at least 2 years. located in a representative studio and have experience with coatings. If this description suits you, please visit: http://gyeonquartz.com/certified-detailer-program/ to learn more and submit the special contact form.",https://gyeon.zendesk.com/hc/en-us/articles/360000892377-How-to-become-a-Gyeon-Certified-Detailer,360000892377
