id,scope,sku,field,before,after,label
phase2-industrial_products-06008.056.001-key1,product.specs,06008.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-06008.056.001-key2,product.specs,06008.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-06008.056.001-key3,product.specs,06008.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-06008.056.001-key4,product.specs,06008.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07001.056.001-key5,product.specs,07001.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07001.056.001-key6,product.specs,07001.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07001.056.001-key7,product.specs,07001.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07001.056.001-key8,product.specs,07001.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07008.056.001-key9,product.specs,07008.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07008.056.001-key10,product.specs,07008.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07008.056.001-key11,product.specs,07008.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07008.056.001-key12,product.specs,07008.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07006.056.001-key13,product.specs,07006.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07006.056.001-key14,product.specs,07006.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07006.056.001-key15,product.specs,07006.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-07006.056.001-key16,product.specs,07006.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-12002.056.001-key17,product.specs,12002.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-12002.056.001-key18,product.specs,12002.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-12002.056.001-key19,product.specs,12002.056.001,specs.flagship,True,null,P0 ilgisiz: industrial_products grubunda flagship anlamsız
phase2-industrial_products-12002.056.001-key20,product.specs,12002.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-12002.056.001-key21,product.specs,12002.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-12001.056.001-key22,product.specs,12001.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-12001.056.001-key23,product.specs,12001.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-12001.056.001-key24,product.specs,12001.056.001,specs.confidence,0.5,null,P0 ilgisiz: industrial_products grubunda confidence anlamsız
phase2-industrial_products-12001.056.001-key25,product.specs,12001.056.001,specs.gap_reason,cleaner_liquid:exterior_cleaner,null,P0 ilgisiz: industrial_products grubunda gap_reason anlamsız
phase2-industrial_products-07933.056.001-key26,product.specs,07933.056.001,specs.fit,weak,null,P0 ilgisiz: industrial_products grubunda fit anlamsız
phase2-industrial_products-07933.056.001-key27,product.specs,07933.056.001,specs.source,group,null,P0 ilgisiz: industrial_products grubunda source anlamsız
phase2-industrial_products-07933.056.001-key28,product.specs,07933.056.001,specs.premium,True,null,P0 ilgisiz: industrial_products grubunda premium anlamsız
