id,scope,sku,field,before,after,label
phase2-microfiber-3219-key-nozzle_types,product.specs,3219,specs.nozzle_types,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde nozzle_types alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-capacity_liters,product.specs,3219,specs.capacity_liters,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde capacity_liters alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-max_pressure_bar,product.specs,3219,specs.max_pressure_bar,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde max_pressure_bar alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-chemical_resistance,product.specs,3219,specs.chemical_resistance,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde chemical_resistance alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-spare_seals_included,product.specs,3219,specs.spare_seals_included,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde spare_seals_included alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-pressure_relief_valve,product.specs,3219,specs.pressure_relief_valve,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde pressure_relief_valve alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-spray_pattern_adjustable,product.specs,3219,specs.spray_pattern_adjustable,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde spray_pattern_adjustable alanı kategoriyle uyumsuz
phase2-microfiber-3219-key-compressed_air_connection,product.specs,3219,specs.compressed_air_connection,null,null,P0 ilgisiz-null: microfiber/cleaning_cloth ürününde compressed_air_connection alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-nozzle_types,product.specs,3236NBR2,specs.nozzle_types,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde nozzle_types alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-capacity_liters,product.specs,3236NBR2,specs.capacity_liters,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde capacity_liters alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-max_pressure_bar,product.specs,3236NBR2,specs.max_pressure_bar,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde max_pressure_bar alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-chemical_resistance,product.specs,3236NBR2,specs.chemical_resistance,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde chemical_resistance alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-spare_seals_included,product.specs,3236NBR2,specs.spare_seals_included,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde spare_seals_included alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-pressure_relief_valve,product.specs,3236NBR2,specs.pressure_relief_valve,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde pressure_relief_valve alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-spray_pattern_adjustable,product.specs,3236NBR2,specs.spray_pattern_adjustable,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde spray_pattern_adjustable alanı kategoriyle uyumsuz
phase2-microfiber-3236NBR2-key-compressed_air_connection,product.specs,3236NBR2,specs.compressed_air_connection,null,null,P0 ilgisiz-null: microfiber/interior_cleaning_applicator ürününde compressed_air_connection alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-nozzle_types,product.specs,70919,specs.nozzle_types,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde nozzle_types alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-capacity_liters,product.specs,70919,specs.capacity_liters,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde capacity_liters alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-max_pressure_bar,product.specs,70919,specs.max_pressure_bar,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde max_pressure_bar alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-chemical_resistance,product.specs,70919,specs.chemical_resistance,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde chemical_resistance alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-spare_seals_included,product.specs,70919,specs.spare_seals_included,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde spare_seals_included alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-pressure_relief_valve,product.specs,70919,specs.pressure_relief_valve,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde pressure_relief_valve alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-spray_pattern_adjustable,product.specs,70919,specs.spray_pattern_adjustable,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde spray_pattern_adjustable alanı kategoriyle uyumsuz
phase2-microfiber-70919-key-compressed_air_connection,product.specs,70919,specs.compressed_air_connection,null,null,P0 ilgisiz-null: microfiber/chamois_drying_towel ürününde compressed_air_connection alanı kategoriyle uyumsuz
