source,id,sku,key,after,original_group,original_sub_type,final_group,final_sub_type,reason
phase3a,phase3a-Q2M-CM1000M-confidence_level-1,Q2M-CM1000M,confidence_level,high,abrasive_polish,heavy_cut_compound,abrasive_polish,heavy_cut_compound,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-Q2M-CMP1000M-confidence_level-1,Q2M-CMP1000M,confidence_level,high,abrasive_polish,heavy_cut_compound,abrasive_polish,heavy_cut_compound,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-Q2M-CMPR1000M-confidence_level-1,Q2M-CMPR1000M,confidence_level,high,abrasive_polish,heavy_cut_compound,abrasive_polish,heavy_cut_compound,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-Q2M-PO1000M-confidence_level-1,Q2M-PO1000M,confidence_level,high,abrasive_polish,polish,abrasive_polish,polish,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-20144.261.001-confidence_level-1,20144.261.001,confidence_level,high,abrasive_polish,sanding_paste,abrasive_polish,heavy_cut_compound,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-20144.261.001-rinse_required-1,20144.261.001,rinse_required,True,abrasive_polish,sanding_paste,abrasive_polish,heavy_cut_compound,rinse_required: not applicable for abrasive_polish/heavy_cut_compound
phase3a,phase3a-701003-skill_level-1,701003,skill_level,pro,car_shampoo,ceramic_infused_shampoo,car_shampoo,ceramic_infused_shampoo,skill_level: not applicable for car_shampoo/ceramic_infused_shampoo
phase3a,phase3a-701851-dwell_time_minutes-1,701851,dwell_time_minutes,3,car_shampoo,ph_neutral_shampoo,car_shampoo,ph_neutral_shampoo,dwell_time_minutes: not applicable for car_shampoo/ph_neutral_shampoo
phase3a,phase3a-Q2M-BYA4000M-confidence_level-1,Q2M-BYA4000M,confidence_level,high,car_shampoo,ph_neutral_shampoo,car_shampoo,ph_neutral_shampoo,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-Q2M-BPYA1000M-dwell_time_minutes-1,Q2M-BPYA1000M,dwell_time_minutes,2,car_shampoo,ceramic_infused_shampoo,car_shampoo,ceramic_infused_shampoo,dwell_time_minutes: not applicable for car_shampoo/ceramic_infused_shampoo
phase3a,phase3a-Q2M-PPFW500M-dwell_time_minutes-1,Q2M-PPFW500M,dwell_time_minutes,2,car_shampoo,ppf_shampoo,car_shampoo,ph_neutral_shampoo,dwell_time_minutes: not applicable for car_shampoo/ph_neutral_shampoo
phase3a,phase3a-Q2M-RW1000M-dwell_time_minutes-1,Q2M-RW1000M,dwell_time_minutes,2,car_shampoo,decon_shampoo,car_shampoo,decon_shampoo,dwell_time_minutes: not applicable for car_shampoo/decon_shampoo
phase3a,phase3a-79290-dwell_time_minutes-1,79290,dwell_time_minutes,3,car_shampoo,decon_shampoo,car_shampoo,decon_shampoo,dwell_time_minutes: not applicable for car_shampoo/decon_shampoo
phase3a,phase3a-79290-skill_level-1,79290,skill_level,pro,car_shampoo,decon_shampoo,car_shampoo,decon_shampoo,skill_level: not applicable for car_shampoo/decon_shampoo
phase3a,phase3a-79286-confidence_level-1,79286,confidence_level,high,car_shampoo,ceramic_infused_shampoo,car_shampoo,ceramic_infused_shampoo,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-79284-confidence_level-1,79284,confidence_level,high,car_shampoo,ph_neutral_shampoo,car_shampoo,ph_neutral_shampoo,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-700507-confidence_level-1,700507,confidence_level,high,car_shampoo,ph_neutral_shampoo,car_shampoo,ph_neutral_shampoo,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-700508-confidence_level-1,700508,confidence_level,high,car_shampoo,ph_neutral_shampoo,car_shampoo,ph_neutral_shampoo,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-701422-skill_level-1,701422,skill_level,pro,car_shampoo,towel_wash,car_shampoo,towel_wash,skill_level: not applicable for car_shampoo/towel_wash
phase3a,phase3a-701422-application_method-1,701422,application_method,both,car_shampoo,towel_wash,car_shampoo,towel_wash,application_method: not applicable for car_shampoo/towel_wash
phase3a,phase3a-Q2-OLE100M-confidence_level-1,Q2-OLE100M,confidence_level,high,ceramic_coating,single_layer_coating,ceramic_coating,paint_coating,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-Q2-PPFE50M-rinse_required-1,Q2-PPFE50M,rinse_required,True,ceramic_coating,ppf_coating,ceramic_coating,paint_coating,rinse_required: not applicable for ceramic_coating/paint_coating
phase3a,phase3a-Q2-RE30M-confidence_level-1,Q2-RE30M,confidence_level,high,ceramic_coating,wheel_coating,ceramic_coating,wheel_coating,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-79296-dwell_time_minutes-1,79296,dwell_time_minutes,1,ceramic_coating,glass_coating,ceramic_coating,glass_coating,dwell_time_minutes: not applicable for ceramic_coating/glass_coating
phase3a,phase3a-79296-rinse_required-1,79296,rinse_required,True,ceramic_coating,glass_coating,ceramic_coating,glass_coating,rinse_required: not applicable for ceramic_coating/glass_coating
phase3a,phase3a-700405-dwell_time_minutes-1,700405,dwell_time_minutes,2,ceramic_coating,paint_coating,ceramic_coating,paint_coating,dwell_time_minutes: not applicable for ceramic_coating/paint_coating
phase3a,phase3a-700405-confidence_level-1,700405,confidence_level,high,ceramic_coating,paint_coating,ceramic_coating,paint_coating,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-MXP-CCN50KS-confidence_level-1,MXP-CCN50KS,confidence_level,high,ceramic_coating,paint_coating,ceramic_coating,paint_coating,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-MXP-DPCN50KS-confidence_level-1,MXP-DPCN50KS,confidence_level,high,ceramic_coating,paint_coating,ceramic_coating,paint_coating,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-MXP-HC50KS-confidence_level-1,MXP-HC50KS,confidence_level,high,ceramic_coating,multi_step_coating_kit,ceramic_coating,paint_coating,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-MGPS-6046R-application_method-1,MGPS-6046R,application_method,both,clay_products,clay_pad,clay_products,clay_pad,application_method: not applicable for clay_products/clay_pad
phase3a,phase3a-MGPS-6012K-application_method-1,MGPS-6012K,application_method,both,clay_products,clay_disc,clay_products,clay_pad,application_method: not applicable for clay_products/clay_pad
phase3a,phase3a-700210-skill_level-1,700210,skill_level,pro,contaminant_solvers,wheel_iron_remover,contaminant_solvers,wheel_iron_remover,skill_level: not applicable for contaminant_solvers/wheel_iron_remover
phase3a,phase3a-71110-skill_level-1,71110,skill_level,pro,contaminant_solvers,specialty_cleaner,contaminant_solvers,specialty_cleaner,skill_level: not applicable for contaminant_solvers/specialty_cleaner
phase3a,phase3a-76008-rinse_required-1,76008,rinse_required,True,contaminant_solvers,bug_remover,contaminant_solvers,bug_remover,rinse_required: not applicable for contaminant_solvers/bug_remover
phase3a,phase3a-Q2M-CCE-skill_level-1,Q2M-CCE,skill_level,pro,contaminant_solvers,clay_bar,contaminant_solvers,clay_bar,skill_level: not applicable for contaminant_solvers/clay_bar
phase3a,phase3a-Q2M-TOTR1000M-confidence_level-1,Q2M-TOTR1000M,confidence_level,high,contaminant_solvers,wax_remover,contaminant_solvers,wax_remover,"confidence_level: not measurable, no filter value (global delete)"
phase3a,phase3a-79291-rinse_required-1,79291,rinse_required,True,contaminant_solvers,iron_remover,contaminant_solvers,wheel_iron_remover,rinse_required: not applicable for contaminant_solvers/wheel_iron_remover
phase3a,phase3a-701610-dwell_time_minutes-1,701610,dwell_time_minutes,5,fragrance,odor_eliminator,fragrance,odor_eliminator,dwell_time_minutes: not applicable for fragrance/odor_eliminator
phase3a,phase3a-701610-rinse_required-1,701610,rinse_required,False,fragrance,odor_eliminator,fragrance,odor_eliminator,rinse_required: not applicable for fragrance/odor_eliminator
phase3a,phase3a-75229-confidence_level-1,75229,confidence_level,high,fragrance,vent_clip,fragrance,vent_clip,"confidence_level: not measurable, no filter value (global delete)"
