id,sku,name,key,value,confidence,evidence
phase3c-123456-application_method-2,123456,EPOCA TINT TEC 10 PPF Folyo Cam Filmi Uygulamaları İçin Basınçlı Pompa 10 Litre - Siyah/Beyaz,application_method,machine,high,machine signal
phase3c-12918-skill_level-3,12918,EPOCA EP01 Asit Dayanımlı El Tipi Sprey Şişe 1 Litre,skill_level,pro,high,profesyonel/usta
phase3c-12918-application_method-4,12918,EPOCA EP01 Asit Dayanımlı El Tipi Sprey Şişe 1 Litre,application_method,both,high,machine+hand
phase3c-12922-skill_level-5,12922,EPOCA EP01 Alkali ve Alkol Dayanımlı El Tipi Sprey Şişe 1 Litre,skill_level,pro,high,profesyonel/usta
phase3c-12922-application_method-6,12922,EPOCA EP01 Alkali ve Alkol Dayanımlı El Tipi Sprey Şişe 1 Litre,application_method,both,high,machine+hand
phase3c-13724-volume_ml-7,13724,EPOCA EP10 360° Derece Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml,volume_ml,600,high,600 ml
phase3c-13724-skill_level-8,13724,EPOCA EP10 360° Derece Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml,skill_level,pro,high,profesyonel/usta
phase3c-13724-application_method-9,13724,EPOCA EP10 360° Derece Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml,application_method,both,high,machine+hand
phase3c-18802-volume_ml-10,18802,EPOCA A-TYPE 1.5 PRO Asit Dayanımlı Basınçlı Pompa 1.8 Litre,volume_ml,1860,high,1860 ml
phase3c-18802-skill_level-11,18802,EPOCA A-TYPE 1.5 PRO Asit Dayanımlı Basınçlı Pompa 1.8 Litre,skill_level,pro,high,profesyonel/usta
phase3c-18802-application_method-13,18802,EPOCA A-TYPE 1.5 PRO Asit Dayanımlı Basınçlı Pompa 1.8 Litre,application_method,machine,high,machine signal
phase3c-18802-rinse_required-14,18802,EPOCA A-TYPE 1.5 PRO Asit Dayanımlı Basınçlı Pompa 1.8 Litre,rinse_required,true,high,durulayın/yıkayın
phase3c-18810-volume_ml-15,18810,EPOCA A-TYPE 1.5 PRO Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.8 Litre,volume_ml,1860,high,1860 ml
phase3c-18810-skill_level-16,18810,EPOCA A-TYPE 1.5 PRO Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.8 Litre,skill_level,pro,high,profesyonel/usta
phase3c-18810-application_method-18,18810,EPOCA A-TYPE 1.5 PRO Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.8 Litre,application_method,machine,high,machine signal
phase3c-18810-rinse_required-19,18810,EPOCA A-TYPE 1.5 PRO Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.8 Litre,rinse_required,true,high,durulayın/yıkayın
phase3c-18848-skill_level-20,18848,EPOCA A-TYPE 1.5 PRO Köpük Yapıcı Asit Dayanımlı Basınçlı Pompa 1.8 Litre,skill_level,pro,high,profesyonel/usta
phase3c-18848-application_method-22,18848,EPOCA A-TYPE 1.5 PRO Köpük Yapıcı Asit Dayanımlı Basınçlı Pompa 1.8 Litre,application_method,machine,high,machine signal
phase3c-19771-application_temperature_min_c-23,19771,EPOCA TEC TWO 2000 KÖPÜK Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,application_temperature_min_c,5,high,5–30°c
phase3c-19771-application_temperature_max_c-24,19771,EPOCA TEC TWO 2000 KÖPÜK Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,application_temperature_max_c,30,high,5–30°c
phase3c-19771-volume_ml-25,19771,EPOCA TEC TWO 2000 KÖPÜK Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,volume_ml,2000,high,2000 ml
phase3c-19771-skill_level-26,19771,EPOCA TEC TWO 2000 KÖPÜK Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,skill_level,pro,high,profesyonel/usta
phase3c-19771-application_method-28,19771,EPOCA TEC TWO 2000 KÖPÜK Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,application_method,machine,high,machine signal
phase3c-19771-rinse_required-29,19771,EPOCA TEC TWO 2000 KÖPÜK Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,rinse_required,true,high,durulayın/yıkayın
phase3c-19956-application_method-31,19956,EPOCA ALFA TEC Asit Dayanımlı Basınçlı Pompa 2 Litre,application_method,both,high,machine+hand
phase3c-19976-application_method-33,19976,EPOCA ALFA TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 2 Litre,application_method,both,high,machine+hand
phase3c-20009-application_method-35,20009,EPOCA ALFA TEC Kimyasal Dayanımlı Basınçlı Pompa 2 Litre,application_method,both,high,machine+hand
phase3c-20102-skill_level-36,20102,EPOCA 2000 Profesyonel Kimyasal Dayanımlı Basınçlı Pompa 2 Litre - Kırmızı/Beyaz (NBR),skill_level,pro,high,profesyonel/usta
phase3c-20102-application_method-38,20102,EPOCA 2000 Profesyonel Kimyasal Dayanımlı Basınçlı Pompa 2 Litre - Kırmızı/Beyaz (NBR),application_method,both,high,machine+hand
phase3c-20417-application_temperature_min_c-39,20417,EPOCA EP TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.3 Litre,application_temperature_min_c,5,high,5–30°c
phase3c-20417-application_temperature_max_c-40,20417,EPOCA EP TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.3 Litre,application_temperature_max_c,30,high,5–30°c
phase3c-20417-volume_ml-41,20417,EPOCA EP TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.3 Litre,volume_ml,1310,high,1310 ml
phase3c-20417-skill_level-42,20417,EPOCA EP TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.3 Litre,skill_level,pro,high,profesyonel/usta
phase3c-20417-application_method-44,20417,EPOCA EP TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.3 Litre,application_method,machine,high,machine signal
phase3c-20417-rinse_required-45,20417,EPOCA EP TEC Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.3 Litre,rinse_required,true,high,durulayın/yıkayın
phase3c-20444-application_method-47,20444,EPOCA EP TEC Kimyasal Dayanımlı Basınçlı Pompa 1.3 Litre,application_method,both,high,machine+hand
phase3c-20450-application_method-49,20450,EPOCA EP TEC 360° Derece Kimyasal Dayanımlı Basınçlı Pompa 1.3 Litre,application_method,both,high,machine+hand
phase3c-21746-volume_ml-50,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,volume_ml,230,high,230 ml
phase3c-21746-skill_level-51,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,skill_level,pro,high,profesyonel/usta
phase3c-21746-application_method-53,21746,EPOCA A-TYPE 10 PRO Köpük Yapıcı Alkali ve Alkol Dayanımlı Basınçlı Pompa 11 Litre,application_method,machine,high,machine signal
