sourceSku,sourceBrand,sourceName,relationType,confidence,score,targetSku,targetBrand,targetName,matchTokens,patternLabel,sourceField,evidence
22930.261.001,MENZERNA,Menzerna 1100 Keçe Uyumlu Kalın Pasta Agresif Çizik Giderici – 1 Lt,use_with,low,9,77019,FRA-BER,FRA-BER Deep Alkaline Ağır Zemin Yüzey Temizliği İçin Konsantre Deterjan (1:50 Konst) - 5 kg,"icin,yuzey",X ile (birlikte) kullan,description,"[X ile (birlikte) kullan] …n Pasta Çizik Giderici, zımpara izleri, ağır yüzey çizikleri ve vernikleri matlaşmış araç yüzeyleri için keçe ile birlikte kullanıma uygun agresif, hızlı ve performanslı bi…"
22930.261.001,MENZERNA,Menzerna 1100 Keçe Uyumlu Kalın Pasta Agresif Çizik Giderici – 1 Lt,use_with,low,9,3219,KLIN,KLIN Green Monster Zorlu Yağ/Kir İçin Temizlik Bezi - 40x36 cm,"icin,zorlu",X ile (birlikte) kullan,description,"[X ile (birlikte) kullan] …lın pastadır. Bu etkili çizik giderici, boya düzeltme işleminin ilk ve en zorlu adımı için tasarlanmış ve farklı türde keçeler ile kullanım için optimize edilmiştir. Menzerna 110…"
22930.261.001,MENZERNA,Menzerna 1100 Keçe Uyumlu Kalın Pasta Agresif Çizik Giderici – 1 Lt,use_after,low,9,82671872,IK SPRAYERS,IK PRO HANDLE INOX Basınçlı Pompa Püskürtme Kolu,puskurtme,X sonrası(nda),description,[X sonrası(nda)] …ir. • Boya ve Kaporta Sonrası İşlemler: Boya püskürtme kalıntılarını (overspray) ve zımpara sonrası oluşan izleri gidermek için güvenilir b…
22984.260.001,MENZERNA,MENZERNA 1000 Çizik Giderici Kalın Pasta - 1 kg,use_after,low,9,82671872,IK SPRAYERS,IK PRO HANDLE INOX Basınçlı Pompa Püskürtme Kolu,puskurtme,X sonrası(nda),description,[X sonrası(nda)] …ir. • Boya ve Kaporta Sonrası İşlemler: Boya püskürtme kalıntılarını (overspray) ve zımpara sonrası oluşan izleri gidermek için güvenilir b…
22984.281.001,MENZERNA,MENZERNA 1000 Çizik Giderici Kalın Pasta - 250 ml,use_after,low,9,82671872,IK SPRAYERS,IK PRO HANDLE INOX Basınçlı Pompa Püskürtme Kolu,puskurtme,X sonrası(nda),description,[X sonrası(nda)] …ir. • Boya ve Kaporta Sonrası İşlemler: Boya püskürtme kalıntılarını (overspray) ve zımpara sonrası oluşan izleri gidermek için güvenilir b…
26900.223.010,MENZERNA,MENZERNA Rotary ve Orbital Uyumlu Kalın Pasta Süngeri 130/150mm - Kırmızı,use_with,low,9,26935.099.001,MENZERNA,MENZERNA Rotary Polisaj Makineleri için Esnek ve Dayanıklı Ped Destek Disk Tabanlık - 148mm,tabanlik,X ile uyumlu,faq#2026,"[X ile uyumlu] …125mm (5 inç) çapında tabanlık diskleri ile uyumludur. Taban çapı 130mm, yüzey çapı 150mm'…"
26900.223.011,MENZERNA,MENZERNA Rotary ve Orbital Uyumlu İnce Pasta Süngeri 130/150mm - Sarı,use_with,low,9,26935.099.001,MENZERNA,MENZERNA Rotary Polisaj Makineleri için Esnek ve Dayanıklı Ped Destek Disk Tabanlık - 148mm,tabanlik,X ile uyumlu,faq#2018,"[X ile uyumlu] …125mm (5 inç) çapında tabanlık diskleri ile uyumludur. Taban çapı 130mm, yüzey çapı 150mm'…"
26906.099.001,MENZERNA,MENZERNA Krater Kuzu Yünü Polisaj Keçesi 230mm/9 inc,use_with,low,9,KP160-22L,MG PS,MG PS Doğal Kuzu Postu Agresif Pasta Keçesi - 160 mm,"kuzu,pasta",X ile (birlikte) kullan,description,[X ile (birlikte) kullan] …Kuzu yününden pasta gurubu ürünler ile kullanım için özel olarak üretilmiştir. Boya yüz…
26907.099.001,MENZERNA,MENZERNA Ağır Kesim Kalın Pasta Süngeri 2li Paket (Kırmızı) - 95mm,use_with,low,9,26935.099.001,MENZERNA,MENZERNA Rotary Polisaj Makineleri için Esnek ve Dayanıklı Ped Destek Disk Tabanlık - 148mm,tabanlik,X ile uyumlu,faq#1977,[X ile uyumlu] …75mm (3 inç) çapında tabanlık diskleri ile uyumludur.…
26908.099.001,MENZERNA,MENZERNA İnce Kesim Ara Kat Pasta Süngeri 2li Paket (Sarı) - 95mm,use_with,low,9,26935.099.001,MENZERNA,MENZERNA Rotary Polisaj Makineleri için Esnek ve Dayanıklı Ped Destek Disk Tabanlık - 148mm,tabanlik,X ile uyumlu,faq#1838,[X ile uyumlu] …75mm (3 inç) çapında tabanlık diskleri ile uyumludur.…
