sku,key,value_text,value_numeric,value_boolean
22203.261.001,cut_level,,9,
22203.261.001,filler_free,,,true
22203.261.001,silicone_free,,,true
22203.261.001,machine_compatibility,Rotary,,
22203.261.001,machine_compatibility,Orbital,,
22984.260.001,cut_level,,9,
22984.260.001,filler_free,,,true
22984.260.001,silicone_free,,,true
22984.260.001,machine_compatibility,Rotary,,
22930.261.001,cut_level,,8,
22930.261.001,filler_free,,,true
22930.261.001,silicone_free,,,true
22930.261.001,machine_compatibility,Rotary,,
22930.261.001,machine_compatibility,Orbital,,
14992.203.001,cut_level,,10,
14992.203.001,filler_free,,,true
14992.203.001,silicone_free,,,true
14992.203.001,machine_compatibility,Rotary,,
22771.261.001,cut_level,,6,
22771.261.001,filler_free,,,true
22771.261.001,silicone_free,,,true
22771.261.001,machine_compatibility,Rotary,,
22771.261.001,machine_compatibility,Orbital,,
22911.261.001,cut_level,,3,
22911.261.001,filler_free,,,true
22911.261.001,silicone_free,,,true
22911.261.001,machine_compatibility,Rotary,,
22911.261.001,machine_compatibility,Orbital,,
22029.261.001,cut_level,,3,
22029.261.001,filler_free,,,true
22029.261.001,silicone_free,,,true
22029.261.001,machine_compatibility,Rotary,,
22029.261.001,machine_compatibility,Orbital,,
22748.261.001,cut_level,,5,
22748.261.001,filler_free,,,true
22748.261.001,silicone_free,,,false
22748.261.001,machine_compatibility,Rotary,,
22748.261.001,machine_compatibility,Orbital,,
22748.261.001,machine_compatibility,Hand,,
20144.261.001,function,Surface Preparation / Matting,,
20144.261.001,cut_level,Sanding Grade,,
20144.261.001,filler_free,,,true
20144.261.001,silicone_free,,,true
20144.261.001,machine_compatibility,Orbital,,
20144.261.001,machine_compatibility,Hand,,
23003.391.001,silicone_free,,,true
23003.391.001,application_method,Hand,,
23003.391.001,application_method,Machine,,
Q2M-CMP1000M,cut_level,,10,
Q2M-CMP1000M,machine_compatibility,Rotary,,
Q2M-CMP1000M,machine_compatibility,Orbital,,
Q2M-CMP1000M,silicone_free,,,true
Q2M-CMP1000M,filler_free,,,true
Q2M-CMPR1000M,cut_level,,10,
Q2M-CMPR1000M,machine_compatibility,Rotary,,
Q2M-CMPR1000M,machine_compatibility,Orbital,,
Q2M-CMPR1000M,silicone_free,,,true
Q2M-CMPR1000M,filler_free,,,true
Q2M-CM1000M,cut_level,,8,
Q2M-CM1000M,machine_compatibility,Rotary,,
Q2M-CM1000M,machine_compatibility,Orbital,,
Q2M-CM1000M,silicone_free,,,true
Q2M-CM1000M,filler_free,,,true
Q2M-PO1000M,cut_level,,6,
Q2M-PO1000M,machine_compatibility,Rotary,,
Q2M-PO1000M,machine_compatibility,Orbital,,
Q2M-PO1000M,silicone_free,,,true
Q2M-PO1000M,filler_free,,,true
22200.261.001,filler_free,,,true
22202.260.001,filler_free,,,true
22984.281.001,filler_free,,,true
22828.261.001,filler_free,,,true
22992.261.001,filler_free,,,true
22992.261.001,silicone_free,,,false
Q2M-GP250M,function,Glass Cleaning & Preparation,,
Q2M-PPR1000M,function,PPF Renovation & Protection,,
700209,function,Clean & Protect,,
700209,scent,Vanilla,,
74391,function,Clean & Protect,,
74391,scent,Vanilla,,
SGGD188-02,material,Foam (Köpük),,
SGGD188-02,size,105 mm,,
SGGD188-02,features,Ergonomik kalın yapı,,
SGGD188-02,type,El uygulama pedi,,
3229,material,Microfiber Plush,,
3229,size,12x10 cm,,
3229,features,"Ultra yumuşak, çizmez",,
3229,quantity,2 adet,,
3229,type,Peluş aplikatör,,
3224M,material,Microfiber,,
3224M,features,Hassas detay çalışması için parmağa takılır,,
3224M,quantity,6 adet,,
3224M,type,Parmak aplikatör,,
3224M,design,Parmağa geçmeli,,
3235,material,Dual Foam (Siyah/Turuncu),,
3235,features,İki farklı sertlikte yüzey,,
3235,quantity,2 adet,,
3235,type,Çift taraflı sünger,,
3235,design,Dual face,,
ACC-SPG-2,material,Foam,,
ACC-SPG-2,features,Ele oturan ergonomik yapı,,
ACC-SPG-2,type,Lastik parlatma süngeri,,
ACC-SPG-2,quantity,1 adet,,
SGGD190,material,Melamin,,
SGGD190,features,"Sadece su ile çalışır, kimyasal gerektirmez",,
SGGD190,type,Melamin sünger,,
SGGD190,function,Leke silgi,,
SGGD296,material,Foam,,
SGGD296,size,31 cm,,
SGGD296,features,Elleri kirletmeden uygulama sağlayan saplı tasarım,,
SGGD296,type,Lastik uygulama aparatı,,
SGGD296,design,PRO serisi,,
11075-RE,material,Foam,,
11075-RE,color,Kırmızı,,
11075-RE,type,Çok amaçlı el aplikatörü,,
Q2M-CA10P,material,Süet + Mikrofiber,,
Q2M-CA10P,quantity,,10,
Q2M-CA10P,design,Çift taraflı,,
Q2M-CAP10P,material,Süet + Mikrofiber,,
Q2M-CAP10P,quantity,,10,
Q2M-CAP10P,features,"Ekonomik versiyon, çift taraflı",,
Q2M-CAP10P,design,Çift taraflı Light,,
Q2M-MFAE,material,Microfiber,,
Q2M-MFAE,features,Ergonomik cep tasarımı,,
Q2M-MFAE,design,Parmak tip,,
Q2M-TA2P,material,Foam,,
Q2M-TA2P,features,Lastik yanağına tam oturan kavisli yapı,,
Q2M-TA2P,quantity,2 adet,,
Q2M-TA2P,type,Sünger blok,,
Q2M-SPE,material,Foam/Microfiber,,
Q2M-SPE,features,İç temizlik için ovma özelliği,,
SGGD004,function,Araç Yıkama Süngeri,,
SGGD004,material,Poliüretan köpük,,
SGGD004,color,Siyah,,
Q2M-BL,size,Büyük Boy,,
Q2M-BL,material,Mikrofiber,,
