sku,key,value_text,value_numeric,value_boolean
14992.203.001,silicone_free,,,true
20144.261.001,silicone_free,,,true
22029.261.001,silicone_free,,,true
22200.261.001,silicone_free,,,true
22200.261.001,voc_free,,,true
22200.281.001,silicone_free,,,true
22200.281.001,voc_free,,,true
22202.251.001,silicone_free,,,true
22202.260.001,silicone_free,,,true
22202.281.001,silicone_free,,,true
22203.261.001,silicone_free,,,true
22203.281.001,silicone_free,,,true
22746.281.001,silicone_free,,,true
22828.251.001,silicone_free,,,true
22828.261.001,silicone_free,,,true
22828.281.001,silicone_free,,,true
22911.261.001,silicone_free,,,true
22930.261.001,silicone_free,,,true
22984.260.001,silicone_free,,,true
22984.281.001,silicone_free,,,true
22992.281.001,silicone_free,,,true
23003.391.001,silicone_free,,,true
701003,contains_sio2,,,true
75016,contains_sio2,,,true
75215,contains_sio2,,,true
79286,contains_sio2,,,true
79298,contains_sio2,,,true
MXP-CCN30KS,contains_sio2,,,true
MXP-CCN50KS,contains_sio2,,,true
MXP-DPCN30KS,contains_sio2,,,true
MXP-DPCN50KS,contains_sio2,,,true
MXP-HC30KS,contains_sio2,,,true
MXP-HC50KS,contains_sio2,,,true
Q2-BS30M,contains_sio2,,,true
Q2-CCE200M,contains_sio2,,,true
Q2-FCNA400M,contains_sio2,,,true
Q2-LCR120M,contains_sio2,,,true
Q2-LCR500M,contains_sio2,,,true
Q2-LSE50M,contains_sio2,,,true
Q2-OLE100M,contains_sio2,,,true
Q2-OLE30M,contains_sio2,,,true
Q2-OLE50M,contains_sio2,,,true
Q2-PC100M,contains_sio2,,,true
Q2-PLE50M,contains_sio2,,,true
Q2-PPFE50M,contains_sio2,,,true
Q2-PR1000M,contains_sio2,,,true
Q2-PR120M,contains_sio2,,,true
Q2-SLE30M,contains_sio2,,,true
Q2-SLE50M,contains_sio2,,,true
Q2-TRE30M,contains_sio2,,,true
Q2-TYA500M,contains_sio2,,,true
Q2M-BPYA1000M,contains_sio2,,,true
Q2M-BPYA500M,contains_sio2,,,true
Q2M-BYA1000M,contains_sio2,,,true
Q2M-CDYA500M,contains_sio2,,,true
Q2M-CM1000M,silicone_free,,,true
Q2M-CMPR1000M,silicone_free,,,true
Q2M-CMR500M,contains_sio2,,,true
Q2M-CRYA100M,contains_sio2,,,true
Q2M-CRYA250M,contains_sio2,,,true
Q2M-EW1000M,contains_sio2,,,true
Q2M-EW500M,contains_sio2,,,true
Q2M-LSN200M,contains_sio2,,,true
Q2M-LSSYA200M,contains_sio2,,,true
Q2M-PM500M,voc_free,,,true
Q2M-PPFMR500M,contains_sio2,,,true
Q2M-PPFW500M,contains_sio2,,,true
Q2M-PPR1000M,contains_sio2,,,true
Q2M-PPR120M,contains_sio2,,,true
Q2M-QDYA1000M,contains_sio2,,,true
Q2M-RWYA1000M,contains_sio2,,,true
Q2M-RWYA500M,contains_sio2,,,true
Q2M-WCYA4000M,contains_sio2,,,true
Q2M-WYA1000M,contains_sio2,,,true
Q2M-WYA500M,contains_sio2,,,true
