sku,product_name,brand,main_cat,price,image_url,url,sub_cat,sub_cat2,target_surface,template_group,template_sub_type,search_text,base_name,variant_skus
11075-RE,MG PS Çok Amaçlı El Tipi Aplikatör Sünger (Kırmızı) - 110x75 mm,MG PS,AKSESUAR,140,https://mgpolishing.com/wp-content/uploads/2025/11/11075-RE_0.jpg,https://mtskimya.com/aksesuar/uygulama-aplikatorleri/prd-mg-pads-cok-amacli-el-tipi-aplikator-sunger-kirmizi-110x75-mm,Uygulama Aplikatörleri,,"Çok amaçlı - boya, plastik, deri",applicators,applicator_pad,"MG PS Çok Amaçlı El Tipi Aplikatör Sünger (Kırmızı) - 110x75 mm | Marka: MG PS | Kategori: AKSESUAR > Uygulama Aplikatörleri | Hedef Yüzey: Çok amaçlı - boya, plastik, deri | Teknik Özellikler: Dayanıklı açık gözenekli sünger, boyut 110x75 mm, kırmızı renk | Kullanım Alanı: Wax uygulama, cila uygulama, deri bakım ürünleri, plastik-vinil uygulamaları | Özellikler: Ergonomik el pedi tasarımı, çok amaçlı kullanım, açık gözenekli yapı iyi ürün dağılımı sağlar | Kullanım: Ürünü aplikatöre uygulayın, yüzeye eşit şekilde yayın, gerekirse farklı ürünlerle kullanın | Teknik Detay: Foam malzeme, el tipi aplikatör, kırmızı renk kolay takip, yeniden kullanılabilir, çok amaçlı | Varyantlar: 110x75 mm, 11075-RE",MG PADS Çok Amaçlı El Tipi Aplikatör Sünger (Kırmızı),11075-RE
12001.056.001,Menzerna GW18 Kesici Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı – 1150 Gr,MENZERNA,ENDÜSTRİYEL,600,https://mgpolishing.com/wp-content/uploads/2025/11/12001.056.001_0.jpg,https://mtskimya.com/endustriyel/prd-menzerna-gw18-kesici-kati-cila-bej-plastik-kompozit-boyali-yuzey-parlatici-1150-gr,,,"Plastik, kompozit, boyalı yüzeyler, akrilik",industrial_products,metal_polish,"Menzerna GW18 Kesici Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı – 1150 Gr | Marka: MENZERNA | Kategori: ENDÜSTRİYEL | Hedef Yüzey: Plastik, kompozit, boyalı yüzeyler, akrilik | Teknik Özellikler: Kesicilik 8/10, parlaklık 3/10, 1150 gr, bej, yağlı formül | Aşırı ısı birikimi yapmadan hızlı kesme, düşük ısı oluşumu | P600 zımpara sonrası ilk kesici cila işleminde kullanım | Kullanım Alanları: Otomobil iç parçaları, sanat ve zanaat ürünleri, resim çerçeveleri, mutfaklar, tekne ve yat yapımı, mobilya aksesuarları, keman ve piyano yapımı, kompozit materyaller | Uyumluluk: Plastik, kompozit, boyalı/vernikli yüzeyler, kaplamalı yüzeyler | Parlatma Aracı: Sert Koton Fırça | Kullanım: Katı cilayı dönen fırçaya sürün, plastik/kompozit yüzeyi parlatın, düşük ısı oluşumu sayesinde uzun süre çalışabilirsiniz | Avantajlar: Hızlı kesim, yüzeyi yakmaz, fırçaya kolay sarılır, yüksek parlaklık | Manuel ve tam otomatik polisaj sistemleri için uygun | Sonrası: GW16 ve P175 ile devam | Menzerna Endüstriyel Katı, Emülsiyon Kesici Parlatıcı Cilalar Yetkili Türkiye Dağıtıcısı MTS Kimya Güvencesi ile Satın Alın. Orijinal Ürün Garantisi. | Varyantlar: 1150 gr, 12001.056.001",Menzerna GW18 Kesici Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı,12001.056.001
12002.056.001,Menzerna GW16 Parlatıcı Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı – 1200 Gr,MENZERNA,ENDÜSTRİYEL,600,https://mgpolishing.com/wp-content/uploads/2025/11/12002.056.001_0.jpg,https://mtskimya.com/endustriyel/prd-menzerna-gw16-parlatici-kati-cila-bej-plastik-kompozit-boyali-yuzey-parlatici-1200-gr,,,"Plastik, kompozit, boyalı yüzeyler, vernikli yüzeyler",industrial_products,metal_polish,"Menzerna GW16 Parlatıcı Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı – 1200 Gr | Marka: MENZERNA | Kategori: ENDÜSTRİYEL | Hedef Yüzey: Plastik, kompozit, boyalı yüzeyler, vernikli yüzeyler | Teknik Özellikler: Kesicilik 5/10, parlaklık 7/10, 1200 gr, bej, yağlı formül | Amiral gemisi ürün - Menzerna endüstriyel katı cila ailesinin en önemli ürünü | Tek aşama uygulamada rakipsiz kesicilik ve parlaklık | Poliüretan kaplamalar üzerinde etkili, P800 kum zımpara izlerini giderebilir | Kullanım Alanları: Otomobil iç parçaları, sanat ve zanaat ürünleri, resim çerçeveleri, mutfaklar, tekne ve yat yapımı, mobilya aksesuarları, keman ve piyano yapımı, kompozit materyaller | Uyumluluk: Plastik, kompozit, boyalı/vernikli yüzeyler, kaplamalı yüzeyler, poliüretan kaplamalar, polyester kaplamalar, vernik/lak kaplamalı ahşaplar | Parlatma Aracı: Orta/Yumuşak Koton Fırça | Kullanım: Katı cilayı dönen fırçaya sürün, plastik/kompozit yüzeyi parlatın, süper finisaj elde edin | Avantajlar: Çok net ve yüksek parlaklık, orta kesim kesicilik, akrilik cam kenarlarının parlatılması için uygun, boyalı ve vernikli yüzeyleri süper finisaja hazırlar | GW18 ve P204 sonrası kullanım, P175 ile devam | Menzerna Endüstriyel Katı, Emülsiyon Kesici Parlatıcı Cilalar Yetkili Türkiye Dağıtıcısı MTS Kimya Güvencesi ile Satın Alın. Orijinal Ürün Garantisi. | Varyantlar: 1200 gr, 12002.056.001",Menzerna GW16 Parlatıcı Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı,12002.056.001
123456,EPOCA TINT TEC 10 PPF Folyo Cam Filmi Uygulamaları İçin Basınçlı Pompa 10 Litre - Siyah/Beyaz,EPOCA,AKSESUAR,3000,https://mgpolishing.com/wp-content/uploads/2025/11/123456_0.jpg,https://mtskimya.com/aksesuar/siseler-ve-basincli-pompalar/basincli-pompalar/prd-epoca-tint-tec-10-ppf-folyo-cam-filmi-uygulamalari-icin-basincli-pompa-10-litre-siyahbeyaz,Şişeler ve Basınçlı Pompalar,Basınçlı Pompalar,"PPF folyo, cam filmi, araç camları, araç kaportası",sprayers_bottles,pump_sprayer,"Marka: EPOCA | EPOCA TINT TEC 10, ppf folyo ve cam filmi uygulamacıları için özel üretilmiştir Kullanıcı beklentilerini tamamen karşılayan dayanıklı plastik haznesi, ergonomik tetiği ve uyumlu contalardan donatılan bu basınçlı pompa, ppf ve cam filmi uygulamaları esnasında bir yardımcıdır EPOCA TINT TEC 10'un ayarlanabilir nozulu sayesinde hem buhar tipinde hem de jet tipinde sıvıları atabilirsiniz 10 litrelik haznesi, manuel pompalama sistemi, fazla hava tahliye valfi, stabil tabanı ve 4 metre hortumu işlerinize hız kazandırırken aynı zamanda uygulamaları kolaylaştırır Sıvı tankı şeffaf renktedir ve tankın içeriğinin seviyesini kolayca izlemek için kabartmalı dereceli bir ölçeğe sahiptir | Malzeme: PP | Kullanım: 1. Hazneyi kaydırıcı sıvı, sabun veya su karışımı ile doldurun (max 7.9L). 2. | Avantajlar: • 10 litre kapasiteli - kesintisiz uzun süreli çalışma • 3.1 metre esnek hortum - geniş hareket alanı • Ayarlanabilir nozul - buhar ve jet modları • Kimyasal dirençli NBR contalar • İtalyan EPOCA kalitesi - 50+ yıllık tecrübe | Kullanım Alanı: PPF folyo, cam filmi, araç camları, araç kaportası | Varyantlar: 10 lt, 123456",EPOCA TINT TEC PPF Folyo Cam Filmi Uygulamaları İçin Basınçlı Pompa,123456
12918,EPOCA EP01 Asit Dayanımlı El Tipi Sprey Şişe 1 Litre,EPOCA,AKSESUAR,230,https://mgpolishing.com/wp-content/uploads/2025/11/12918_0.jpg,https://mtskimya.com/aksesuar/siseler-ve-basincli-pompalar/sprey-siseler/prd-epoca-ep01-asit-dayanimli-el-tipi-sprey-sise-1-litre,Şişeler ve Basınçlı Pompalar,Sprey Şişeler,"Jantlar, metal yüzeyler, endüstriyel ekipmanlar, dezenfeksiyon gerektiren yüzeyler",sprayers_bottles,trigger_sprayer,"Marka: EPOCA | Heavy Duty/Ağır işler serisi el spreyleri, profesyonel tetikli püskürtücüler ve şeffaf şişelerden oluşur El spreylerinde ayarlanabilir nozul ve serigrafi baskılı dereceli ölçek bulunur VITON contalı ürünler dezenfektan ve/veya yağ çözücü ürünlerle ağır temizlik işlemlerinde veya metal temizleme işlemlerinde kullanılabilirler Kimyasal mikrop öldürücülerle dezenfeksiyon için de kullanılabilirler VITON contalı ürünler araç bakımında yaygın olarak kullanılır ve araç yıkama için vazgeçilmez bir öğedir | Malzeme: VITON | Kullanım: 1. Asit bazlı veya yağ çözücü kimyasalı ölçekli şişeye doldurun. 2. | Avantajlar: • VITON conta ile asitlere dayanıklılık • Yüksek atış kapasiteli dayanıklı PP başlık • % ve ml cinsinden dereceli ölçekli şişe • Su sızdırmaz tasarım | Kullanım Alanı: Jantlar, metal yüzeyler, endüstriyel ekipmanlar, dezenfeksiyon gerektiren yüzeyler | Varyantlar: 1 lt, 12918",EPOCA EP01 Asit Dayanımlı El Tipi Sprey Şişe,12918
12922,EPOCA EP01 Alkali ve Alkol Dayanımlı El Tipi Sprey Şişe 1 Litre,EPOCA,AKSESUAR,190,https://mgpolishing.com/wp-content/uploads/2025/11/12922_0.jpg,https://mtskimya.com/aksesuar/siseler-ve-basincli-pompalar/sprey-siseler/prd-epoca-ep01-alkali-ve-alkol-dayanimli-el-tipi-sprey-sise-1-litre,Şişeler ve Basınçlı Pompalar,Sprey Şişeler,"Araç yüzeyleri, camlar, motor bölmesi, jantlar, endüstriyel ekipmanlar",sprayers_bottles,trigger_sprayer,"Marka: EPOCA | Heavy Duty/Ağır işler serisi el spreyleri, profesyonel tetikli püskürtücüler ve şeffaf şişelerden oluşur El spreylerinde ayarlanabilir nozul ve serigrafi baskılı dereceli ölçek bulunur EPDM contalı ürünler araç bakımında yaygın olarak kullanılır ve araç yıkama için vazgeçilmez bir öğedir Profesyonel deterjanlar, sıvı cila, cam temizleyiciler ve motor temizleyiciler gibi diğer kimyasallarla kullanılabilir TEKNİK ÖZELLİKLER Toplam Kapasite ml - 1035 Atış ml – 2.2 Sıvılara Göre Conta – EPDM Nozul - Ayarlanabilir Başlık Rengi – Siyah&Beyaz Şişe Rengi – Beyaz ARTILARI • NBR Nitril kauçuk contalar | Malzeme: EPDM | Kullanım: 1. Alkali veya alkol bazlı kimyasalı ölçekli şişeye doldurun. 2. | Avantajlar: • EPDM conta ile alkali ve alkol dayanımı • Her açıdan püskürtme özellikli 360° mekanizma • % ve ml cinsinden dereceli ölçekli şişe • Su sızdırmaz tasarım | Kullanım Alanı: Araç yüzeyleri, camlar, motor bölmesi, jantlar, endüstriyel ekipmanlar | Varyantlar: 1 lt, 12922",EPOCA EP01 Alkali ve Alkol Dayanımlı El Tipi Sprey Şişe,12922
13724,EPOCA EP10 360° Derece Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml,EPOCA,AKSESUAR,220,https://mgpolishing.com/wp-content/uploads/2025/11/13724_0.jpg,https://mtskimya.com/aksesuar/siseler-ve-basincli-pompalar/sprey-siseler/prd-epoca-ep10-360-derece-kimyasal-dayanimli-el-tipi-sprey-sise-600-ml,Şişeler ve Basınçlı Pompalar,Sprey Şişeler,"Yüzeyler, ekipmanlar, bitkiler, vitrin/levhalar, araç yüzeyleri",sprayers_bottles,trigger_sprayer,"Marka: EPOCA | EPOCA EP10 360° Kimyasal Dayanımlı El Tipi Sprey Şişe 600 ml Ayarlanabilir Nozul (Mist/Jet) | 360° Her Açıdan Püskürtme | 1.3 ml/Atış Sabit Doz | NBR Conta | Dereceli (ml + %) Şeffaf Şişe | Profesyonel Tetik Mekanizması 360° ERİŞİM, DAHA AZ EFOR EPOCA EP10; ağır iş koşullarına uygun tetik mekanizması, 360° her açıdan püskürten esnek emiş sistemi ve ml + % seyreltme skalalı şeffaf gövdesiyle doğru miktarı, doğru yere ve her pozisyonda ulaştırır NBR contalar ve sağlam malzeme yapısı uzun ömürlü ve tutarlı performans sağlar TEKNİK VE YAPISAL ÖZELLİKLER • Toplam Kapasite: 630 ml (kullanımda ~600 ml) • Çıkış (Atış): 1.3 ml / tetik • Conta: NBR (nitril) • Nozul: Ayarlanabilir (ince sis/mist ↔ jet) • 360° Emiş: Kıvrılabilir EVA emiş hortumu + AISI paslanmaz ağırlıklı filtre ucu • Şişe: Şeffaf beyaz, kabartmalı ml ve serigrafi % seyreltme skalası • Tetik: Profesyonel mekanizma, PP gövde • Renk: Başlık beyaz • Şişe beyaz ÜRÜNÜN KULLANIM AVANTAJLARI • Ters kullanım dâhil her açıdan kesintisiz püskürtme (360° sistem) • Sabit 1.3 ml/atış ile tekrarlanabilir doz ve daha az ürün kaybı • Mist/jet arası hızlı geçiş; geniş alan ıslatma veya noktasal temizlik • Şeffaf, dereceli şişe ile doğru seyreltme ve stok takibi • Ağır işe uygun tetik ve hortum yapısı; uzun servis ömrü KULLANIM ALANLARI • Sanitasyon & Dezenfeksiyon: Su bazlı yüzey dezenfektanları, hijyen solüsyonları • Endüstriyel Temizlik: Hafif yağ çözücüler, yüzey ön temizliği, bakım kimyasalları • Bina/Yapı: Uygulama esnasında yüzey nemlendirme, montaj ön hazırlığı • Tarım & Bahçe: Bitki sağlığı ürünleri, herbisit ve haşere kontrol uygulamaları • Reklam & Signage: Vitrin/levha ıslatma, folyo ön hazırlık, pano temizliği • Otomotiv Detay: APC seyreltmeleri, ön ıslatma ve noktasal temizlik KİMYASAL UYUMLULUK (NBR) • Uygun: Su bazlı deterjanlar/temizlik ürünleri, dezenfektanlar, düşük oranlı alkol (örn üretici tavsiyesine göre %≈5’e kadar), ılık su •... | Varyantlar: 600 ml, 13724",EPOCA EP10 360° Derece Kimyasal Dayanımlı El Tipi Sprey Şişe,13724
14992.203.001,MENZERNA AS 30 Ağır Çizik Giderici Krem Kalın Pasta - 1 kg,MENZERNA,DIŞ YÜZEY,700,https://mgpolishing.com/wp-content/uploads/2025/11/14992.203.001_0.jpg,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-as-30-agir-cizik-giderici-krem-kalin-pasta-1-kg,Pasta Cila Ürünleri,Kalın Pastalar,"Taze ve yumuşak vernikler, yeni boyanmış paneller, jelkot yüzeyler, overspray bulaşmış yüzeyler",abrasive_polish,heavy_cut_compound,"MENZERNA AS 30 Ağır Çizik Giderici Krem Kalın Pasta - 1 kg | Marka: MENZERNA | Kategori: DIŞ YÜZEY > Pasta Cila Ürünleri > Kalın Pastalar | Yüzey: Taze ve yumuşak vernikler, yeni boyanmış paneller, jelkot yüzeyler, overspray bulaşmış yüzeyler | Menzerna AS 30: Taze Boya ve Agresif Zımpara İzleri İçin Uzman Çözüm (1 Kg) Menzerna AS 30, boya ve kaporta atölyelerinin en zorlu ihtiyaçları için özel olarak geliştirilmiş, krem formunda bir ağır çizik giderici pastadır | Bu uzman ürün, özellikle taze ve yumuşak vernik yüzeyler üzerinde güvenle çalışmak üzere tasarlanmıştır | Sektörde ezber bozan bir kesim gücü sunan AS 30, P800 gibi son derece agresif zımpara izlerini, boya püskürtme kalıntılarını (overspray) ve ağır kullanım belirtilerini etkin ve güvenilir bir şekilde ortadan kaldırır | Su bazlı ve silikonsuz formülü, profesyonellerin en hassas yüzeylerde bile kalıcı ve dürüst sonuçlar almasını sağlar | Teknik Özellikler • Aşındırıcılık: 10/10 • Parlaklık: 3/10 • Zımpara İzi Giderme: P800 ve üstü • Silikon/Dolgu: İçermez • Formül: Su bazlıdır, taze ve yumuşak vernikler için özel olarak geliştirilmiştir | Özellikler: Kesme Gücü: 10 | Parlaklık Seviyesi: 3 | Makine Uyumluluğu: Rotary | Silikon İçermez: Evet | Önerilen Ped Tipleri: wool_pad, heavy_cut_foam_pad | Koruma İçerir: Hayır | Boya Atölyesi Uyumlu: Evet | Dolgu İçermez: Evet | Formül Bazı: water_based | Yumuşak Boya İçin Güvenli: Evet | Zımpara İzi Giderme: P800+ | Form: cream | Kullanım: Hazırlık: Araç yüzeyini temizleyin. Taze boyalı yüzeylerde yeterli kürlenme süresinin geçtiğinden emin olun. | • Taze ve yumuşak vernikler için özel formül - kürleşmesini tam tamamlamamış yüzeylerde güvenle çalışır | • Silikonsuz ve su bazlı - boya atölyeleri için profesyonel çözüm | Menzerna Pasta Cila Ürünlerini Menzerna Yetkili Türkiye Dağıtıcısı MTS Kimya Güvencesi ile Satın Alın. Aynı Gün Kargo. Orijinal Ürün Garantisi. | Varyantlar: 1 kg, 14992.203.001",MENZERNA AS 30 Ağır Çizik Giderici Krem Kalın Pasta,14992.203.001
18802,EPOCA A-TYPE 1.5 PRO Asit Dayanımlı Basınçlı Pompa 1.8 Litre,EPOCA,AKSESUAR,1050,https://mgpolishing.com/wp-content/uploads/2025/11/18802_0.jpg,https://mtskimya.com/aksesuar/siseler-ve-basincli-pompalar/basincli-pompalar/prd-epoca-a-type-1-5-pro-asit-dayanimli-basincli-pompa-1-8-litre,Şişeler ve Basınçlı Pompalar,Basınçlı Pompalar,"Metal yüzeyler, jantlar, endüstriyel ekipman, inşaat malzemeleri",sprayers_bottles,pump_sprayer,"Marka: EPOCA | EPOCA A-TYPE 1.5 PRO VITON Asit Dayanımlı Basınçlı Pompa 1.8 Litre 3 Bar Emniyet Valfi | VITON Conta | Ayarlanabilir Nozul | Yarı Saydam Görüş Şeridi | Stabilite Tabanı | İtalyan Üretimi VITON CONTALI, ASİT DAYANIMLI ENDÜSTRİYEL BASINÇLI POMPA Epoca’nın Archetype serisinin 1.8 L (1.5 L çalışma hacmi) kapasiteli bu profesyonel basınçlı pompası; asit bazlı kimyasallar için VITON conta yapısı, kavrama çentikleri ve geniş stabil tabanı ile hızlı ve güvenli uygulama sağlar Entegre dereceli görüş şeridi seviyesi izlemeyi kolaylaştırır; yeniden tasarlanan Kappa başlık ergonomiyi artırır TEKNİK VE YAPISAL ÖZELLİKLER • Toplam Kapasite: 1860 ml • Kullanılabilir (Çalışma) Kapasitesi: 1500 ml • Maksimum Basınç: 3 bar • Emniyet Valfi: Var (otomatik basınç düşürme, manuel tahliye) • Conta: VITON (asitlere ve birçok solvente yüksek direnç) • Nozul: Ayarlanabilir • Pompa Çubuğu: Kimyasal dayanımlı, güçlendirilmiş plastik (PP) • Başlık Yapısı: PP • Hazne: Siyah gövde, yarı saydam dereceli görüş şeridi • Taban: Geniş stabilite tabanı • Ergonomi: Üst kısımda kavrama çentikleri • Renk: Başlık siyah • Şişe siyah XXX Ürün köpük yapıcı değildir, sıvı atımdır XXX ÜRÜNÜN KULLANIM AVANTAJLARI • VITON conta sayesinde asit bazlı kimyasallarda dayanım • 3 bar emniyet valfi ile güvenli kullanım ve hızlı basınç tahliyesi • Ayarlanabilir nozul ile homojen ve kontrollü püskürtme • Dereceli görüş şeridi ile hassas seviye takibi • Geniş taban ve kavrama çentikleriyle stabil ve konforlu çalışma KULLANIM ALANLARI • Endüstriyel temizlik ve kimya uygulamaları • İnşaat ve şantiye temizlikleri • Otomotiv ve detailing (asitli jant temizleyiciler vb.) • Endüstriyel malzeme ve ekipman yüzey temizliği KİMYASAL UYUMLULUK (VITON) • Uyumlu: Asitler, yağlar ve mineral yağlar, silikon bazlı kimyasallar, alifatik/aromatik hidrokarbonlar • Sınırlı: Hafif alkali ürünler (konsantrasyon ve temas süresine bağlı test önerilir) • Önerilmez: Ketonlar (ör Hazırlık: Kimyasalı ve suyu hazneye ekleyin; maksimum çizgiyi aşmayın | Malzeme: PP | Kullanım: 1. Asit... | Varyantlar: 1.8 lt, 18802",EPOCA A-TYPE PRO Asit Dayanımlı Basınçlı Pompa,18802
18810,EPOCA A-TYPE 1.5 PRO Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.8 Litre,EPOCA,AKSESUAR,1000,https://mgpolishing.com/wp-content/uploads/2025/11/18810_0.jpg,https://mtskimya.com/aksesuar/siseler-ve-basincli-pompalar/basincli-pompalar/prd-epoca-a-type-1-5-pro-alkali-ve-alkol-dayanimli-basincli-pompa-1-8-litre,Şişeler ve Basınçlı Pompalar,Basınçlı Pompalar,"Zeminler, ekipmanlar, araç yüzeyleri, HVAC sistemleri, endüstriyel malzemeler",sprayers_bottles,pump_sprayer,"Marka: EPOCA | EPOCA A-TYPE 1.5 PRO EPDM Alkali ve Alkol Dayanımlı Basınçlı Pompa 1.8 Litre 3 Bar Emniyet Valfi | EPDM Conta | Ayarlanabilir Nozul | Dereceli Görüş Şeridi | Stabilite Tabanı | İtalyan Üretimi EDPM CONTALI ENDÜSTRİYEL BASINÇLI POMPA Epoca’nın Archetype serisinin 1.8 L (1.5 L çalışma hacmi) kapasiteli bu profesyonel basınçlı pompası; alkali, alkol ve keton bazlı kimyasallar için özel EPDM conta yapısı, ergonomik kavrama çentikleri ve geniş stabil tabanı ile hızlı ve güvenli uygulama sağlar TEKNİK VE YAPISAL ÖZELLİKLER • Toplam Kapasite: 1860 ml • Kullanılabilir (Çalışma) Kapasitesi: 1500 ml • Maksimum Basınç: 3 bar • Emniyet Valfi: Var (otomatik basınç düşürme, manuel tahliye) • Conta: EPDM • Nozul: Ayarlanabilir püskürtme desenini, kolay kontrol • Pompa Çubuğu: Kimyasal dayanımlı güçlendirilmiş plastik (PP) • Başlık Yapısı: PP • Hazne: Saydam, ölçek şeritli hazne • Taban: Geniş stabilite taban • Ergonomi: Üst kısımda kavrama çentikleri ÜRÜNÜN KULLANIM AVANTAJLARI • EPDM conta sayesinde alkali ve alkol bazlı kimyasallarda yüksek dayanım • 3 bar emniyet valfi ile güvenli kullanım ve hızlı basınç tahliyesi • Ayarlanabilir nozul ile homojen ve kontrollü püskürtme • Dereceli görüş şeridi ve yarı saydam gövde ile kolay seviye takibi • Geniş taban ve kavrama çentikleriyle stabil ve konforlu çalışma KİMYASAL UYUMLULUK (EPDM) • Uyumlu: Alkali ürünler, ketonlar (aseton dahil), alkoller, silikon bazlı kimyasallar, ’ye kadar asetik asit çözeltileri • Sınırlı: Bazı alifatik solventler (konsantrasyon ve temas süresine bağlı test önerilir) • Önerilmez: Aromatik hidrokarbonlar, yağlar ve petrol türevleri, yüksek konsantrasyonlu mineral asitler KULLANIM ALANLARI • Endüstriyel temizlik ve kimya uygulamaları • İnşaat ve şantiye temizlikleri • Otomotiv ve detailing (APC, çok amaçlı temizleyiciler vb.) • Endüstriyel malzeme ve ekipman yüzey temizliği • HVAC bakım ve genel dezenfeksiyon uygulamaları NASIL KULLANILIR Hazırlık: Kimyasal ile su karışımını hazneye dökün (maksimum çizgiyi aşmayın) Basınç: Pompalayarak çalışma basıncına ulaşın (maks... | Varyantlar: 1.8 lt, 18810",EPOCA A-TYPE PRO Alkali ve Alkol Dayanımlı Basınçlı Pompa,18810
