sku,template_group,template_sub_type,specs_object
22.746.281.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":10,""finish_level"":6,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""dusting_level"":""Low"",""filler_free"":true,""grit_removal"":""P1200+"",""volume_ml"":250,""made_in"":""Almanya""}"
22.200.281.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":8,""finish_level"":8,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""bodyshop_safe"":true,""recommended_pad_types"":[""wool_pad"",""heavy_cut_foam_pad""],""dusting_level"":null,""working_time"":null,""contains_protection"":false,""voc_free"":true,""filler_free"":true,""formula_base"":""water_based"",""wipe_off_ease"":null}"
22.202.251.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":8,""finish_level"":8,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""dusting_level"":""Low"",""recommended_pad_types"":[""wool_pad"",""heavy_cut_foam_pad""],""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":false,""wipe_off_ease"":null}"
22.203.261.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":9,""finish_level"":9,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""dusting_level"":""Very Low"",""recommended_pad_types"":[""wool_pad"",""heavy_cut_foam_pad"",""medium_cut_foam_pad""],""working_time"":""Long"",""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""grit_removal"":""P1500-P2000"",""wipe_off_ease"":null}"
22.984.260.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":9,""finish_level"":3,""machine_compatibility"":[""Rotary""],""recommended_pad_types"":[""Wool"",""Heavy Cut Foam""],""silicone_free"":true,""dusting_level"":""Low"",""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":false,""wipe_off_ease"":null}"
22.930.261.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":8,""finish_level"":5,""machine_compatibility"":[""Rotary"",""Orbital""],""recommended_pad_types"":[""Wool""],""silicone_free"":true,""dusting_level"":""Very Low"",""working_time"":""Long"",""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":false,""wipe_off_ease"":null,""grit_removal"":""P1500+""}"
14.992.203.001,abrasive_polish,heavy_cut_compound,"{""cut_level"":10,""finish_level"":3,""machine_compatibility"":[""Rotary""],""silicone_free"":true,""recommended_pad_types"":[""wool_pad"",""heavy_cut_foam_pad""],""dusting_level"":null,""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":null,""safe_for_soft_paint"":true,""wipe_off_ease"":null,""grit_removal"":""P800+"",""form"":""cream""}"
22.828.251.001,abrasive_polish,polish,"{""cut_level"":5,""finish_level"":7,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""working_time"":""Long"",""recommended_pad_types"":[""medium_cut_foam_pad"",""finishing_foam_pad""],""dusting_level"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true,""wipe_off_ease"":null}"
22.771.261.001,abrasive_polish,polish,"{""cut_level"":6,""finish_level"":7,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""recommended_pad_types"":[""medium_cut_foam_pad"",""wool_pad""],""dusting_level"":null,""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""diminishing"",""safe_for_soft_paint"":false,""wipe_off_ease"":null}"
22.911.261.001,abrasive_polish,finish,"{""cut_level"":3,""finish_level"":10,""machine_compatibility"":[""Rotary"",""Orbital""],""silicone_free"":true,""target_surface"":""Clear Coat"",""recommended_pad_types"":[""finishing_foam_pad"",""ultra_soft_foam_pad""],""dusting_level"":null,""working_time"":null,""contains_protection"":false,""bodyshop_safe"":true,""filler_free"":true,""formula_base"":""water_based"",""abrasive_type"":""diminishing"",""safe_for_soft_paint"":true,""wipe_off_ease"":null,""gloss_level"":""Premium Wet Look""}"
