sku,barcode,product_name,brand,price,image_url,main_cat,sub_cat,sub_cat2,target_surface,template_group,template_sub_type,url
22.746.281.001,4260063010972,MENZERNA 300 Süper Ağır Çizik Giderici Kalın Pasta - 250 ml,MENZERNA,850,https://mgpolishing.com/wp-content/uploads/2025/11/22746.281.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Otomotiv boyası, sert vernikler, tüm boya tipleri",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-300-super-agir-cizik-giderici-kalin-pasta-250-ml
22.200.281.001,4260063012143,MENZERNA 400 Yeşil Seri Ağır Çizik Giderici Kalın Pasta - 250 ml,MENZERNA,1100,https://mgpolishing.com/wp-content/uploads/2025/11/22200.281.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Araç boyası, tüm vernik tipleri, oksidasyonlu yüzeyler, çizik hasarlı paneller",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-400-yesil-seri-agir-cizik-giderici-kalin-pasta-250-ml
22.202.251.001,8683492660796,MENZERNA YENİ 400 Ağır Çizik Giderici Kalın Pasta - 5 litre,MENZERNA,9500,https://mgpolishing.com/wp-content/uploads/2025/11/22202.251.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Otomotiv boyası, sert ve orta sertlikte vernikler, zımpara izi kalmış yüzeyler",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-yeni-400-agir-cizik-giderici-kalin-pasta-5-kg
22.203.261.001,4260063019371,MENZERNA Cut Force Pro Altın Seri Ağır Çizik Giderici Kalın Pasta - 1 lt,MENZERNA,2750,https://mgpolishing.com/wp-content/uploads/2025/11/22203.261.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Araç boyası, sert ve yumuşak vernikler, zımpara görmüş yüzeyler, oksidasyonlu paneller, çizik hasarlı tüm boya tipleri",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-cut-force-pro-altin-seri-agir-cizik-giderici-kalin-pasta-1-lt
22.984.260.001,,MENZERNA 1000 Çizik Giderici Kalın Pasta - 1 kg,MENZERNA,800,,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Otomotiv boyası, sert vernikler, zımpara izi kalmış yüzeyler, derin çizikli paneller",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-yeni-1000-kalin-pasta-1-kg-agir-cizik-zimpara-izi-giderici-hizli-kesim
22.930.261.001,4260063010170,Menzerna 1100 Keçe Uyumlu Kalın Pasta Agresif Çizik Giderici – 1 Lt,MENZERNA,1500,https://mgpolishing.com/wp-content/uploads/2025/08/22930.261.001_1.webp,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Otomotiv boyası, matlaşmış vernikler, zımpara izi kalmış yüzeyler, ağır çizikli paneller",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-1100-kece-uyumlu-kalin-pasta-agresif-cizik-giderici-1-lt
14.992.203.001,4260063013706,MENZERNA AS 30 Ağır Çizik Giderici Krem Kalın Pasta - 1 kg,MENZERNA,700,https://mgpolishing.com/wp-content/uploads/2025/11/14992.203.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,Kalın Pastalar,"Taze ve yumuşak vernikler, yeni boyanmış paneller, jelkot yüzeyler, overspray bulaşmış yüzeyler",abrasive_polish,heavy_cut_compound,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/kalin-pastalar/prd-menzerna-as-30-agir-cizik-giderici-krem-kalin-pasta-1-kg
22.828.251.001,8683492660802,MENZERNA 2500 İnce Çizik Giderici Pasta - 5 lt,MENZERNA,7800,https://mgpolishing.com/wp-content/uploads/2025/11/22828.251.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,İnce Pastalar,"Yumuşak ve hassas vernikler, mikro-çizilmeye yatkın boyalar, orta sertlikte araç boyaları, keçe izi kalmış yüzeyler",abrasive_polish,polish,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/ince-pastalar/prd-menzerna-2500-ince-cizik-giderici-pasta-5-lt
22.771.261.001,4260063010347,MENZERNA 2200 İnce Çizik Giderici Pasta - 1 lt,MENZERNA,1900,https://mgpolishing.com/wp-content/uploads/2025/11/22771.261.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,İnce Pastalar,"Sert ve çizilmeye dirençli vernikler, modern seramik vernikler, Japon otomobil boyaları, orta sertlikte araç boyaları",abrasive_polish,polish,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/ince-pastalar/prd-menzerna-2200-ince-cizik-giderici-pasta-1-lt
22.911.261.001,4260063010163,MENZERNA 3500 Premium Hare Giderici Cila - 1 lt,MENZERNA,2300,https://mgpolishing.com/wp-content/uploads/2025/11/22911.261.001_0.jpg,DIŞ YÜZEY,Pasta Cila Ürünleri,Hare Gidericiler,"Modern seramik vernikler, çizilmeye dirençli sert vernikler, premium araç boyaları, lüks otomobil vernikleri",abrasive_polish,finish,https://mtskimya.com/dis-yuzey/pasta-cila-urunleri/hare-gidericiler/prd-menzerna-3500-premium-hare-giderici-cila-1-lt
